id,lat,lng,unverified,description,season_start,season_stop,no_season,quality_rating,yield_rating,author,address,city,state,country,created_at,updated_at,access,import_link,muni,types
290290,38.5579767383245,-121.697997653996,false,[1x] Honeylocust (Gleditsia triacanthos),,,,,,Greenprint Maps,,Davis,California,United States,2013-02-19 06:59:34 UTC,2016-12-08 21:02:07 UTC,,http://fallingfruit.org/imports/96,true,"{""Honey locust""}"
284038,38.5516594032483,-121.772408970753,false,[1x] Strawberry madrone (Arbutus unedo),,,,,,Greenprint Maps,,Davis,California,United States,2013-02-19 06:58:42 UTC,2016-12-08 21:44:57 UTC,,http://fallingfruit.org/imports/96,true,"{""Strawberry tree""}"
1772236,38.536455,-121.756846,false,2 different strawberry madrones between the Tercero Dining Commons and Scrub Oak Auditorium. Reasonably productive through the winter,November,February,false,Good,Good,,,Davis,California,United States,2021-01-20 17:54:39 UTC,2021-01-21 05:01:02 UTC,Public,,false,"{""Strawberry tree""}"
301399,38.5658126983483,-121.728115931833,false,[1x] Roble negro (Quercus ilex),,,,,,Greenprint Maps,,Davis,California,United States,2013-02-19 07:01:07 UTC,2016-12-01 13:50:27 UTC,,http://fallingfruit.org/imports/96,true,"{""Holm oak""}"
286420,38.5534187148207,-121.760243894348,false,[1x] Northern hackberry (Celtis occidentalis),,,,,,Greenprint Maps,,Davis,California,United States,2013-02-19 06:59:02 UTC,2016-12-03 09:24:53 UTC,,http://fallingfruit.org/imports/96,true,"{""Common hackberry""}"
283627,38.5443841908657,-121.7446667788,false,[1x] Strawberry madrone (Arbutus unedo),,,,,,Greenprint Maps,,Davis,California,United States,2013-02-19 06:58:39 UTC,2016-12-06 05:14:01 UTC,,http://fallingfruit.org/imports/96,true,"{""Strawberry tree""}"
286251,38.541373032195,-121.718288371214,false,[1x] Northern hackberry (Celtis occidentalis),,,,,,Greenprint Maps,,Davis,California,United States,2013-02-19 06:59:00 UTC,2016-12-06 11:29:17 UTC,,http://fallingfruit.org/imports/96,true,"{""Common hackberry""}"
297791,38.5679177276999,-121.727708224044,false,[1x] Cherry plum (Prunus cerasifera),,,,,,Greenprint Maps,,Davis,California,United States,2013-02-19 07:00:37 UTC,2016-12-03 05:28:41 UTC,,http://fallingfruit.org/imports/96,true,"{""Cherry plum""}"
285941,38.5413962030944,-121.718174855588,false,[1x] Northern hackberry (Celtis occidentalis),,,,,,Greenprint Maps,,Davis,California,United States,2013-02-19 06:58:58 UTC,2016-12-03 11:26:12 UTC,,http://fallingfruit.org/imports/96,true,"{""Common hackberry""}"
290448,38.5606301852988,-121.715814395098,false,[1x] Honeylocust (Gleditsia triacanthos),,,,,,Greenprint Maps,,Davis,California,United States,2013-02-19 06:59:36 UTC,2016-12-08 00:18:44 UTC,,http://fallingfruit.org/imports/96,true,"{""Honey locust""}"
297040,38.5587413742682,-121.747467504604,false,[1x] Italian stone pine (Pinus pinea),,,,,,Greenprint Maps,,Davis,California,United States,2013-02-19 07:00:31 UTC,2016-12-03 07:20:06 UTC,,http://fallingfruit.org/imports/96,true,"{""Stone pine""}"
285267,38.5411342390653,-121.718081798755,false,[1x] Northern hackberry (Celtis occidentalis),,,,,,Greenprint Maps,,Davis,California,United States,2013-02-19 06:58:52 UTC,2016-12-05 08:48:26 UTC,,http://fallingfruit.org/imports/96,true,"{""Common hackberry""}"
293607,38.5719211053351,-121.750944496252,false,[1x] Apple (Malus sylvestris),,,,,,Greenprint Maps,,Davis,California,United States,2013-02-19 07:00:02 UTC,2016-12-08 15:42:27 UTC,,http://fallingfruit.org/imports/96,true,"{""European crabapple""}"
297153,38.5592807274253,-121.747498731216,false,[1x] Italian stone pine (Pinus pinea),,,,,,Greenprint Maps,,Davis,California,United States,2013-02-19 07:00:32 UTC,2016-12-02 05:33:55 UTC,,http://fallingfruit.org/imports/96,true,"{""Stone pine""}"
297265,38.565848,-121.749407,true,[1x] Pistache (Pistacia sp). Owned by Tree Davis.,,,,,,Greenprint Maps,,Davis,California,United States,2013-02-19 07:00:33 UTC,2016-12-01 13:50:20 UTC,,http://fallingfruit.org/imports/96,true,{Pistachio}
289925,38.567522,-121.756103,false,[1x] Ginkgo (Ginkgo biloba). Owned by Tree Davis.,,,,,,Greenprint Maps,,Davis,California,United States,2013-02-19 06:59:31 UTC,2016-12-04 03:57:32 UTC,,http://fallingfruit.org/imports/96,true,{Ginkgo}
285555,38.5413047510061,-121.719166076925,false,[1x] Northern hackberry (Celtis occidentalis),,,,,,Greenprint Maps,,Davis,California,United States,2013-02-19 06:58:55 UTC,2016-12-08 00:18:30 UTC,,http://fallingfruit.org/imports/96,true,"{""Common hackberry""}"
301609,38.5605351645661,-121.747559800018,false,[1x] Roble negro (Quercus ilex),,,,,,Greenprint Maps,,Davis,California,United States,2013-02-19 07:01:09 UTC,2016-12-05 12:17:21 UTC,,http://fallingfruit.org/imports/96,true,"{""Holm oak""}"
290554,38.5595212755127,-121.716746189107,false,[1x] Honeylocust (Gleditsia triacanthos),,,,,,Greenprint Maps,,Davis,California,United States,2013-02-19 06:59:37 UTC,2016-12-02 08:25:30 UTC,,http://fallingfruit.org/imports/96,true,"{""Honey locust""}"
645,38.54167290760343,-121.75153958999636,false,"This is a pomelo tree between Wellman and Wickson hall.

It's an orange tree, not a pomelo, if you're talking about the tree south of Wickson. And, it's nowhere near this marked location.",,,false,,,Fruit Trees in Davis,,Davis,California,United States,2013-02-07 00:20:28 UTC,2014-03-16 00:52:00 UTC,,http://fallingfruit.org/imports/12,false,{Pomelo}
294437,38.5557643227643,-121.766704900225,false,[1x] Fruitless mullberry (Morus alba),,,,,,Greenprint Maps,,Davis,California,United States,2013-02-19 07:00:09 UTC,2016-12-01 06:59:36 UTC,,http://fallingfruit.org/imports/96,true,"{""White mulberry""}"
1718845,38.539638,-121.746334,false,"1 large prickly pear cactus and a fig tree, both are behind a fence but prickly pear can be picked if fence is closed, fence is open on weekdays. prickly pear is bland and not worth the effort",September,October,false,Good,Very Good,,,Davis,California,United States,2017-10-12 21:05:38 UTC,2018-02-01 15:49:04 UTC,Private but overhanging,,false,"{""Prickly pear"",Fig}"
288617,38.56519,-121.756171,false,[1x] Ginkgo (Ginkgo biloba). Owned by Tree Davis.,,,,,,Greenprint Maps,,Davis,California,United States,2013-02-19 06:59:21 UTC,2016-12-03 14:35:23 UTC,,http://fallingfruit.org/imports/96,true,{Ginkgo}
664485,38.543479,-121.76678,false,"Baggins End (aka The Domes) is an on-campus cooperative (and very intentional) housing community at UC Davis. Among other things, it boasts fruit trees galore in its food forest. They also had a Free Pile until their troubles with the University.

http://www.bagginsend.net/
http://daviswiki.org/The_Domes",,,,,,,,Davis,California,United States,2014-02-18 01:26:15 UTC,2014-02-18 01:26:15 UTC,Private,http://fallingfruit.org/imports/309,false,"{""Forest garden""}"
289984,38.562668,-121.748029,false,[1x] Ginkgo (Ginkgo biloba). Owned by Tree Davis.,,,,,,Greenprint Maps,,Davis,California,United States,2013-02-19 06:59:32 UTC,2016-12-08 17:50:32 UTC,,http://fallingfruit.org/imports/96,true,{Ginkgo}
